"sub_id","predictor","beta_value","standard_error","t_stat","p_value","lower_CI","upper_CI"
1,"OV_num_2",0.000509803921568629,0.000355436957477285,1.43430195100409,0.152361461200448,-0.000186852515086849,0.00120646035822411
1,"AbsValueDiff_2",0.00238338658146966,0.000608711847398132,3.91545949312006,0.000108091626852063,0.00119031136056932,0.00357646180237
2,"OV_num_2",0.00027450980392157,0.000451780272140818,0.607617952463419,0.543827195055968,-0.000610979529474433,0.00115999913731757
2,"AbsValueDiff_2",0.00353674121405751,0.000773706836859931,4.57116448448521,6.69451328830535e-06,0.00202027581381204,0.00505320661430297
3,"OV_num_2",0.00186274509803922,0.000568583825413991,3.27611341508517,0.00115562468305958,0.000748320800227799,0.00297716939585064
3,"AbsValueDiff_2",0.0024376996805112,0.000973741484917382,2.50343619766598,0.0127452234787543,0.000529166370073127,0.00434623299094926
7,"OV_num_2",0.00031372549019608,0.000294745472858308,1.06439460173455,0.287869364980642,-0.000263975636606204,0.000891426616998365
7,"AbsValueDiff_2",0.00137699680511182,0.000504773230586982,2.72795132877898,0.00668792100891486,0.000387641273161331,0.0023663523370623
8,"OV_num_2",0.000588235294117646,0.000411811254478416,1.42840995169664,0.154048175322521,-0.00021891476466005,0.00139538535289534
8,"AbsValueDiff_2",0.00351118210862621,0.000705256963912987,4.97858552029755,9.98833293155212e-07,0.00212887845935675,0.00489348575789566
9,"OV_num_2",9.80392156862842e-05,0.000409468477660936,0.239430434905093,0.810909234514278,-0.000704519000529151,0.00090059743190172
9,"AbsValueDiff_2",0.00327795527156551,0.000701244786859898,4.67448077046513,4.18405853231396e-06,0.00190351548932011,0.00465239505381091
10,"OV_num_2",0.00025490196078431,0.000506937052564604,0.502827638056355,0.615395511467216,-0.000738694662242314,0.00124849858381093
10,"AbsValueDiff_2",0.00427476038338658,0.000868166866977767,4.92389256718323,1.29928115978333e-06,0.00257315332411015,0.005976367442663
11,"OV_num_2",-0.000372549019607844,0.000421431181976064,-0.8840091467864,0.377286218286577,-0.00119855413628093,0.000453456097065241
11,"AbsValueDiff_2",0.00369009584664537,0.000721731795006778,5.11283536650996,5.18647505553592e-07,0.00227550152843208,0.00510469016485865
12,"OV_num_2",0.000960784313725495,0.00044693418584758,2.14972213840262,0.0322486348934332,8.47933094642373e-05,0.00183677531798675
12,"AbsValueDiff_2",0.00434504792332269,0.00076540755880752,5.67677686655217,2.84502818910007e-08,0.00284484910805996,0.00584524673858543
13,"OV_num_2",-0.000156862745098045,0.000505629416679195,-0.310232632682385,0.756565083489932,-0.00114789640178927,0.000834170911593177
13,"AbsValueDiff_2",0.00444728434504793,0.000865927444658881,5.13586256271144,4.62854903081619e-07,0.00275006655351652,0.00614450213657934
15,"OV_num_2",0.000784313725490194,0.000476187811015039,1.64706804195251,0.100423957170222,-0.000149014384099283,0.00171764183507967
15,"AbsValueDiff_2",0.00407667731629392,0.000815506536542309,4.99895112254863,9.05121427313544e-07,0.002478284504671,0.00567507012791685
16,"OV_num_2",0.00180392156862745,0.000497573338999912,3.62543855796857,0.00033041068573337,0.000828677824187619,0.00277916531306728
16,"AbsValueDiff_2",0.00433226837060703,0.000852130821027664,5.08404139798904,5.9762421047088e-07,0.00266209196139281,0.00600244477982125
17,"OV_num_2",0.000843137254901959,0.000432230259600181,1.95066688686227,0.0518787935202645,-4.0340539143968e-06,0.00169030856371831
17,"AbsValueDiff_2",0.00335143769968053,0.000740226007137749,4.52758707119684,8.1414916829744e-06,0.00190059472569054,0.00480228067367052
18,"OV_num_2",0.000313725490196082,0.000406289464207808,0.772172349602494,0.440523218138995,-0.000482601859651222,0.00111005284004339
18,"AbsValueDiff_2",0.0029297124600639,0.000695800493262261,4.21056393094512,3.22807146272368e-05,0.00156594349326987,0.00429348142685793
19,"OV_num_2",0.000686274509803921,0.000423005162173733,1.62237856927632,0.105605043710158,-0.000142815608056597,0.00151536462766444
19,"AbsValueDiff_2",0.00259424920127794,0.000724427351486586,3.58110333072643,0.000389531594180139,0.00117437159236423,0.00401412681019165
20,"OV_num_2",0.00123529411764706,0.000386686330249994,3.19456370968283,0.00152509681992604,0.000477388910357071,0.00199319932493705
20,"AbsValueDiff_2",0.00257507987220448,0.000662228689218736,3.88850545759717,0.000120274646780022,0.00127711164133576,0.0038730481030732
21,"OV_num_2",-0.00127450980392157,0.00032499063179543,-3.92168167088529,0.000105450309633036,-0.00191149144224061,-0.000637528165602524
21,"AbsValueDiff_2",0.00185303514376997,0.000556570282593432,3.32938211349598,0.000961156184445183,0.000762157389886847,0.0029439128976531
22,"OV_num_2",-1.36902849896053e-18,0.000308519975227319,-4.43740635578564e-15,0.999999999999996,-0.000604699151445547,0.000604699151445544
22,"AbsValueDiff_2",0.00195846645367411,0.000528363075727287,3.70666790251818,0.000243342093947041,0.000922874825248632,0.0029940580820996
23,"OV_num_2",0.00033333333333333,0.000432879157609962,0.770037844219041,0.441786681857968,-0.000515109815582196,0.00118177648224886
23,"AbsValueDiff_2",0.00410223642172524,0.000741337292551372,5.53356274255011,6.08269812166127e-08,0.00264921532832456,0.00555525751512593
24,"OV_num_2",7.84313725490224e-05,0.0006208540841669,0.126328189745689,0.89954325901324,-0.0011384426324181,0.00129530537751615
24,"AbsValueDiff_2",0.00197763578274759,0.00106325813505778,1.85997710014241,0.0637110240993676,-0.000106350161965655,0.00406162172746084
25,"OV_num_2",-0.000960784313725497,0.00052930609497213,-1.81517712123849,0.0703356634210931,-0.00199822425987087,7.66556324198778e-05
25,"AbsValueDiff_2",0.00563258785942493,0.000906475492015112,6.21372327110971,1.44224074787927e-09,0.00385589589507531,0.00740927982377455
26,"OV_num_2",0.000117647058823533,0.00042197662247667,0.278799944255294,0.780559783323844,-0.000709427121230741,0.000944721238877806
26,"AbsValueDiff_2",0.00299680511182109,0.000722665901851282,4.14687493092458,4.21547239500804e-05,0.00158037994419257,0.0044132302794496
